Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,SMMT,Healthcare,Biotechnology,NASDAQ,505.97,99,99,99,96,5601800704,20.885000228881836
2,SEZL,Financial Services,Credit Services,NASDAQ,491.73,99,99,99,99,469543264,172.92999267578125
3,LUMN,Communication Services,Telecom Services,NYSE,470.56,99,99,14,16,1086092800,7.28000020980835
4,NEON,Technology,Electronic Components,NASDAQ,463.98,99,99,80,7,30719000,9.84000015258789
5,ASTS,Technology,Communication Equipment,NASDAQ,437.45,99,99,99,5,2532088320,25.31999969482422
6,NISN,Financial Services,Credit Services,NASDAQ,422.15,99,99,31,90,13619664,17.010000228881836
7,INSG,Technology,Communication Equipment,NASDAQ,370.22,99,99,99,18,103737712,17.489999771118164
8,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,367.6,99,99,99,99,16871360,2.9100000858306885
9,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,362.17,99,99,99,99,497564096,16.40999984741211
10,SCPX,Healthcare,Biotechnology,NYSE MKT,341.75,99,99,3,11,10265812,0.7300000190734863
11,ADD,Communication Services,Entertainment,NASDAQ,340.31,99,98,10,2,4945666,1.1299999952316284
12,CADL,Healthcare,Biotechnology,NASDAQ,337.06,99,99,99,99,199960320,7.210000038146973
13,COMM,Technology,Communication Equipment,NASDAQ,331.81,99,99,9,2,256855168,6.110000133514404
14,PSNL,Healthcare,Diagnostics & Research,NASDAQ,329.46,99,99,21,15,65442888,5.21999979019165
15,LENZ,Healthcare,Biotechnology,NASDAQ,311.91,99,99,99,99,467792032,24.040000915527344
16,CRIS,Healthcare,Biotechnology,NASDAQ,288.89,99,98,98,99,45973824,5.380000114440918
17,ADMA,Healthcare,Biotechnology,NASDAQ,279.0,99,99,99,93,2461811456,19.385000228881836
18,AGBA,Financial Services,Asset Management,NASDAQ,276.67,99,99,99,10,229691088,2.309999942779541
19,ESGL,Industrials,Waste Management,NASDAQ,275.0,99,95,98,18,26217720,2.200000047683716
20,DAVE,Technology,Software—Application,NASDAQ,270.46,99,99,99,99,470895648,42.060001373291016
21,RAIL,Industrials,Railroads,NASDAQ,269.96,99,99,56,87,67358160,9.75
22,DOGZ,Consumer Cyclical,Leisure,NASDAQ,268.81,99,99,97,78,201654288,27.399999618530273
23,BYRN,Industrials,Aerospace & Defense,NASDAQ,268.2,99,96,97,99,240324800,17.6299991607666
24,CRVS,Healthcare,Biotechnology,NASDAQ,259.28,99,98,48,34,116970928,5.150000095367432
25,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,258.03,99,99,98,98,51737596,8.850000381469727
26,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,254.22,99,99,95,30,624490496,44.06999969482422
27,RNA,Healthcare,Biotechnology,NASDAQ,254.0,99,99,99,98,4130786048,42.33000183105469
28,LBPH,Healthcare,Biotechnology,NASDAQ,252.89,99,99,99,97,738721920,32.0
29,TLSIW,Healthcare,Medical Devices,NASDAQ,252.26,99,99,99,99,n/a,1.0
30,JG,Technology,Software—Infrastructure,NASDAQ,248.56,99,83,24,10,19034462,8.020000457763672
31,AEYE,Technology,Software - Application,NASDAQ,246.12,99,99,99,96,212526320,23.65999984741211
32,QTTB,Healthcare,Biotechnology,NASDAQ,244.03,99,98,58,91,217226800,46.0
33,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,240.71,99,99,99,98,41906316,4.929999828338623
34,CLOV,Healthcare,Healthcare Plans,NASDAQ,240.39,99,99,93,16,546080704,2.819999933242798
35,RCAT,Technology,Computer Hardware,NASDAQ,231.52,99,99,87,24,75767136,2.559999942779541
36,WAVE,Utilities,Utilities—Renewable,NASDAQ,230.28,99,97,96,96,19145292,4.840000152587891
37,CDNA,Healthcare,Diagnostics & Research,NASDAQ,230.13,99,99,96,45,734330176,29.700000762939453
38,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,229.53,99,98,59,19,38072932,0.7699999809265137
39,RZLT,Healthcare,Biotechnology,NASDAQ,227.33,99,99,99,96,199377680,4.980000019073486
40,ZETA,Technology,Software—Application,NYSE,225.03,99,99,97,86,3581592576,29.510000228881836
