Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WTO,Technology,Consumer Electronics,NASDAQ,566.6,99,99,92,7,211741552,2.2300000190734863
2,ASTS,Technology,Communication Equipment,NASDAQ,534.54,99,99,98,8,2532088320,31.110000610351562
3,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,485.72,99,99,99,67,16871360,3.0399999618530273
4,LENZ,Healthcare,Biotechnology,NASDAQ,483.35,99,99,99,83,467792032,22.0
5,TLSIW,Healthcare,Medical Devices,NASDAQ,482.23,99,99,99,99,n/a,1.25
6,CRBP,Healthcare,Biotechnology,NASDAQ,461.4,99,99,99,99,468184352,57.2400016784668
7,SMMT,Healthcare,Biotechnology,NASDAQ,456.86,99,99,99,98,5601800704,13.470000267028809
8,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,432.08,99,99,11,5,7003263,1.059999942779541
9,MDIA,Communication Services,Broadcasting,NASDAQ,413.1,99,99,96,11,132641344,3.5199999809265137
10,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,367.63,99,99,99,98,497564096,16.979999542236328
11,LBPH,Healthcare,Biotechnology,NASDAQ,347.45,99,99,99,99,738721920,35.20000076293945
12,PSNL,Healthcare,Diagnostics & Research,NASDAQ,341.6,99,98,16,29,65442888,5.760000228881836
13,SEZL,Financial Services,Credit Services,NASDAQ,341.36,99,99,99,99,469543264,132.0
14,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,333.27,99,38,2,8,10736424,6.019999980926514
15,VRAX,Healthcare,Biotechnology,NASDAQ,331.9,99,80,14,2,4558467,4.889999866485596
16,LUMN,Communication Services,Telecom Services,NYSE,325.89,99,97,19,36,1086092800,5.230000019073486
17,RNA,Healthcare,Biotechnology,NASDAQ,320.31,99,99,98,97,4130786048,43.720001220703125
18,DOGZ,Consumer Cyclical,Leisure,NASDAQ,305.56,99,99,96,75,201654288,23.65999984741211
19,INSG,Technology,Communication Equipment,NASDAQ,302.63,99,99,99,11,103737712,13.739999771118164
20,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,300.99,99,99,99,20,41906316,4.150000095367432
21,RCAT,Technology,Computer Hardware,NASDAQ,298.36,99,97,74,20,75767136,3.109999895095825
22,RGS,Consumer Cyclical,Personal Services,NASDAQ,293.92,99,99,3,16,10647367,22.399999618530273
23,AEYE,Technology,Software - Application,NASDAQ,282.58,99,99,99,89,212526320,23.989999771118164
24,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,282.25,99,97,91,22,624490496,43.400001525878906
25,ADMA,Healthcare,Biotechnology,NASDAQ,276.23,99,99,98,93,2461811456,17.350000381469727
