Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,576.33,99,99,99,98,671555136.0,40.130001068115234
5,SEZL,Financial Services,Credit Services,NASDAQ,481.08,99,99,99,98,469543264.0,164.00999450683594
9,INSG,Technology,Communication Equipment,NASDAQ,370.82,99,99,99,17,103737712.0,17.170000076293945
10,NISN,Financial Services,Credit Services,NASDAQ,362.27,99,99,27,95,13619664.0,14.850000381469728
16,ADMA,Healthcare,Biotechnology,NASDAQ,300.94,99,99,99,94,2461811456.0,20.030000686645508
17,LENZ,Healthcare,Biotechnology,NASDAQ,298.1,99,99,99,99,467792032.0,21.540000915527344
21,LBPH,Healthcare,Biotechnology,NASDAQ,285.24,99,99,99,98,738721920.0,32.90999984741211
22,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,282.64,99,99,99,99,51737596.0,9.670000076293944
23,SLNO,Healthcare,Biotechnology,NASDAQ,281.0,99,99,99,99,1734692864.0,48.13999938964844
25,RAIL,Industrials,Railroads,NASDAQ,273.62,99,98,84,89,67358160.0,10.140000343322754
26,RNA,Healthcare,Biotechnology,NASDAQ,271.67,99,99,99,99,4130786048.0,43.5
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,262.92,99,99,95,22,624490496.0,44.43999862670898
28,AEYE,Technology,Software - Application,NASDAQ,262.38,99,99,99,96,212526320.0,23.56999969482422
30,QTTB,Healthcare,Biotechnology,NASDAQ,257.79,99,98,51,92,217226800.0,43.68999862670898
38,BGM,,,NASDAQ,233.09,99,96,36,22,,8.010000228881836
39,ZETA,Technology,Software—Application,NYSE,232.29,99,98,97,77,3581592576.0,29.43000030517578
43,WLFC,Industrials,Rental & Leasing Services,NASDAQ,226.89,99,98,94,56,410781888.0,135.57000732421875
46,CDNA,Healthcare,Diagnostics & Research,NASDAQ,220.47,99,99,94,58,734330176.0,27.850000381469727
48,BYRN,Industrials,Aerospace & Defense,NASDAQ,219.16,99,94,97,99,240324800.0,16.770000457763672
50,BVS,Healthcare,Medical Devices,NASDAQ,216.08,99,98,92,97,371476640.0,11.359999656677246
54,EWTX,Healthcare,Biotechnology,NASDAQ,208.51,99,97,97,98,1511381888.0,26.489999771118164
56,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,206.4,99,99,99,99,12955388928.0,175.14999389648438
