Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,571.42,99,98,48,19,17891930,10.40999984741211
2,NEON,Technology,Electronic Components,NASDAQ,551.88,99,99,80,6,30719000,11.449999809265137
3,ADD,Communication Services,Entertainment,NASDAQ,484.82,99,99,10,2,4945666,1.7000000476837158
4,SEZL,Financial Services,Credit Services,NASDAQ,476.1,99,99,99,98,469543264,163.39999389648438
5,ASTS,Technology,Communication Equipment,NASDAQ,465.7,99,99,99,5,2532088320,26.5
6,LUMN,Communication Services,Telecom Services,NYSE,436.97,99,99,11,15,1086092800,6.659999847412109
7,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,410.08,99,99,99,99,16871360,3.2899999618530273
8,LENZ,Healthcare,Biotechnology,NASDAQ,400.8,99,99,99,99,467792032,22.389999389648438
9,PSNL,Healthcare,Diagnostics & Research,NASDAQ,377.87,99,99,22,16,65442888,5.739999771118164
10,INSG,Technology,Communication Equipment,NASDAQ,374.26,99,99,99,19,103737712,17.690000534057617
11,CADL,Healthcare,Biotechnology,NASDAQ,361.69,99,99,99,88,199960320,7.539999961853027
12,NISN,Financial Services,Credit Services,NASDAQ,348.73,99,99,26,93,13619664,13.75
13,COMM,Technology,Communication Equipment,NASDAQ,341.29,99,98,8,2,256855168,6.210000038146973
14,RGS,Consumer Cyclical,Personal Services,NASDAQ,314.38,99,99,98,7,10647367,24.100000381469727
15,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,313.28,99,99,99,99,497564096,15.479999542236328
16,RAIL,Industrials,Railroads,NASDAQ,309.35,99,97,85,88,67358160,11.229999542236328
17,SLNO,Healthcare,Biotechnology,NASDAQ,309.05,99,99,99,99,1734692864,51.61000061035156
18,RCAT,Technology,Computer Hardware,NASDAQ,306.19,99,99,85,17,75767136,3.130000114440918
19,CRVS,Healthcare,Biotechnology,NASDAQ,302.85,99,98,54,84,116970928,5.909999847412109
20,SHCRW,Healthcare,Health Information Services,NASDAQ,302.77,99,99,7,8,n/a,0.09000000357627869
21,ADMA,Healthcare,Biotechnology,NASDAQ,300.53,99,99,99,94,2461811456,19.979999542236328
22,LBPH,Healthcare,Biotechnology,NASDAQ,298.31,99,99,99,99,738721920,33.88999938964844
23,TLSIW,Healthcare,Medical Devices,NASDAQ,296.69,99,99,99,99,n/a,1.2000000476837158
24,QTTB,Healthcare,Biotechnology,NASDAQ,287.87,99,98,60,81,217226800,48.97999954223633
25,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,280.04,99,99,99,99,51737596,9.579999923706055
26,AEYE,Technology,Software - Application,NASDAQ,279.77,99,99,99,95,212526320,25.299999237060547
27,DOGZ,Consumer Cyclical,Leisure,NASDAQ,279.61,99,99,99,19,201654288,25.360000610351562
28,RNA,Healthcare,Biotechnology,NASDAQ,274.52,99,99,99,98,4130786048,44.47999954223633
29,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,273.59,99,99,96,25,624490496,45.02000045776367
30,CRIS,Healthcare,Biotechnology,NASDAQ,271.1,99,98,99,99,45973824,5.909999847412109
31,DAVE,Technology,Software—Application,NASDAQ,248.8,99,99,99,99,470895648,41.20000076293945
32,SCPX,Healthcare,Biotechnology,NYSE MKT,247.16,99,99,4,15,10265812,0.8100000023841858
33,RZLT,Healthcare,Biotechnology,NASDAQ,247.04,99,99,99,96,199377680,5.079999923706055
34,JANX,Healthcare,Biotechnology,NASDAQ,245.09,99,99,99,99,2094768384,50.20000076293945
35,AGBA,Financial Services,Asset Management,NASDAQ,242.89,99,99,99,8,229691088,1.8600000143051147
36,CLOV,Healthcare,Healthcare Plans,NASDAQ,239.52,99,99,93,19,546080704,2.9100000858306885
37,CDNA,Healthcare,Diagnostics & Research,NASDAQ,239.43,99,99,94,64,734330176,29.6299991607666
38,ZETA,Technology,Software—Application,NYSE,233.2,99,98,97,76,3581592576,28.940000534057617
39,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,230.68,99,98,5,27,71849184,5.099999904632568
40,AVAH,Healthcare,Medical Care Facilities,NASDAQ,230.09,99,98,83,93,507880608,5.519999980926514
41,AKA,Consumer Cyclical,Internet Retail,NYSE,228.82,99,98,98,92,150772864,24.959999084472656
42,EWTX,Healthcare,Biotechnology,NASDAQ,226.59,99,97,97,98,1511381888,28.280000686645508
43,VKTX,Healthcare,Biotechnology,NASDAQ,225.98,99,99,98,99,6216909824,70.47000122070312
44,BGM,n/a,n/a,NASDAQ,225.86,99,97,41,23,n/a,7.900000095367432
45,WLFC,Industrials,Rental & Leasing Services,NASDAQ,225.14,99,98,94,53,410781888,132.1199951171875
46,BYRN,Industrials,Aerospace & Defense,NASDAQ,223.23,99,95,97,99,240324800,17.0
47,BVS,Healthcare,Medical Devices,NASDAQ,221.7,99,98,92,96,371476640,11.850000381469727
48,ESGL,Industrials,Waste Management,NASDAQ,220.64,99,98,97,10,26217720,1.8799999952316284
49,JVA,Consumer Defensive,Packaged Foods,NASDAQ,216.67,99,98,96,90,8163297,3.1600000858306885
50,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,215.11,99,98,84,15,38072932,0.7699999809265137
51,LUNR,Industrials,Aerospace & Defense,NASDAQ,213.76,99,69,20,94,215366480,9.149999618530273
52,SPRY,Healthcare,Biotechnology,NASDAQ,212.71,99,97,89,95,878840320,14.770000457763672
53,CSLR,Technology,Solar,NASDAQ,212.41,99,82,88,7,75117640,2.880000114440918
54,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,210.5,99,99,99,99,12955388928,173.85000610351562
55,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,210.33,99,99,13,2,10736424,3.880000114440918
56,REAX,Real Estate,Real Estate Services,NASDAQ,210.33,99,98,98,97,728804992,5.730000019073486
57,RMTI,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,210.25,99,96,31,16,56084044,4.400000095367432
58,CAVA,Consumer Cyclical,Restaurants,NYSE,210.16,99,98,97,93,10877130752,128.7899932861328
59,CATX,Healthcare,Medical Devices,NYSE MKT,209.53,99,99,97,99,804254976,13.229999542236328
60,MRT,Technology,Software—Application,NYSE MKT,206.0,99,99,98,30,100945328,2.015000104904175
61,FTAI,Industrials,Rental & Leasing Services,NASDAQ,204.21,99,98,99,96,9574752256,130.38999938964844
62,NUTX,Healthcare,Health Information Services,NASDAQ,202.73,98,95,1,2,26848478,24.5
63,TLN,n/a,n/a,NASDAQ,200.91,98,98,97,92,n/a,184.08999633789062
64,ELYM,Healthcare,Biotechnology,NASDAQ,200.46,98,96,99,42,218679408,8.430000305175781
65,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,198.87,98,98,69,98,229773744,15.65999984741211
66,CURI,Communication Services,Broadcasting,NASDAQ,198.43,98,96,94,88,60566304,1.8300000429153442
67,WLGS,Industrials,Engineering & Construction,NASDAQ,198.41,98,23,14,15,8300080,1.3899999856948853
68,ISPOW,Consumer Cyclical,Travel Services,NASDAQ,197.05,98,99,15,5,n/a,0.03200000151991844
69,NTRBW,Healthcare,Biotechnology,NASDAQ,196.35,98,97,99,11,n/a,1.4500000476837158
70,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,195.63,98,98,93,91,640242240,17.8700008392334
