Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
2,SEZL,Financial Services,Credit Services,NASDAQ,584.46,99,99,99,98,469543264.0,187.8300018310547
4,DOGZ,Consumer Cyclical,Leisure,NASDAQ,528.45,99,99,98,63,201654288.0,45.619998931884766
9,INSG,Technology,Communication Equipment,NASDAQ,444.12,99,99,99,23,103737712.0,18.71999931335449
12,CAPR,Healthcare,Biotechnology,NASDAQ,389.58,99,22,66,84,154779824.0,19.57999992370605
15,LBPH,Healthcare,Biotechnology,NASDAQ,353.02,99,99,99,98,738721920.0,58.9900016784668
16,RAIL,Industrials,Railroads,NASDAQ,345.06,99,99,39,85,67358160.0,12.010000228881836
22,LENZ,Healthcare,Biotechnology,NASDAQ,309.6,99,98,99,99,467792032.0,25.5
25,WAVE,Utilities,Utilities—Renewable,NASDAQ,299.94,99,97,29,96,19145292.0,8.729999542236328
28,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,285.48,99,99,97,16,624490496.0,50.88999938964844
29,WLFC,Industrials,Rental & Leasing Services,NASDAQ,278.2,99,99,95,64,410781888.0,180.0
31,CDNA,Healthcare,Diagnostics & Research,NASDAQ,270.23,99,99,98,39,734330176.0,31.309999465942383
32,RNA,Healthcare,Biotechnology,NASDAQ,269.73,99,99,99,99,4130786048.0,46.709999084472656
33,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,268.77,99,99,98,98,51737596.0,9.65999984741211
34,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,264.28,99,98,99,99,12955388928.0,189.08999633789065
45,JANX,Healthcare,Biotechnology,NASDAQ,237.19,99,99,99,99,2094768384.0,49.34999847412109
46,TISI,Industrials,Specialty Business Services,NYSE,235.71,99,99,80,40,34924232.0,22.700000762939453
51,GGAL,Financial Services,Banks - Regional,NASDAQ,230.12,99,98,94,97,6550478336.0,49.43999862670898
57,AEYE,Technology,Software - Application,NASDAQ,227.07,99,99,99,98,212526320.0,23.46999931335449
58,BVS,Healthcare,Medical Devices,NASDAQ,223.48,99,99,96,96,371476640.0,12.56999969482422
59,GDS,Technology,Information Technology Services,NASDAQ,221.75,99,97,94,17,1717016704.0,22.209999084472656
60,EWTX,Healthcare,Biotechnology,NASDAQ,220.98,99,95,97,96,1511381888.0,31.81999969482422
61,APP,Technology,Software - Application,NASDAQ,220.37,98,98,97,98,26597492736.0,145.3000030517578
62,VST,Utilities,Utilities—Independent Power Producers,NYSE,220.34,98,96,97,98,30652921856.0,132.25999450683594
