Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
5,SEZL,Financial Services,Credit Services,NASDAQ,522.23,99,99,99,97,469543264.0,193.47999572753903
6,INSG,Technology,Communication Equipment,NASDAQ,447.9,99,99,99,82,103737712.0,19.670000076293945
7,CAPR,Healthcare,Biotechnology,NASDAQ,433.07,99,71,44,90,154779824.0,20.56999969482422
9,LENZ,Healthcare,Biotechnology,NASDAQ,410.0,99,99,99,99,467792032.0,27.190000534057617
14,SLNHP,Financial Services,Capital Markets,NASDAQ,368.17,99,97,99,31,,9.899999618530272
17,LBPH,Healthcare,Biotechnology,NASDAQ,351.77,99,99,99,98,738721920.0,59.34000015258789
18,RAIL,Industrials,Railroads,NASDAQ,350.24,99,99,47,81,67358160.0,12.699999809265137
21,SMR,Industrials,Specialty Industrial Machinery,NYSE,337.51,99,98,98,92,768516800.0,18.959999084472656
22,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,332.99,99,99,97,15,624490496.0,56.41999816894531
27,RNA,Healthcare,Biotechnology,NASDAQ,289.96,99,99,99,99,4130786048.0,46.709999084472656
28,WLFC,Industrials,Rental & Leasing Services,NASDAQ,289.45,99,99,97,56,410781888.0,191.02999877929688
31,AEYE,Technology,Software - Application,NASDAQ,273.2,99,99,99,99,212526320.0,27.850000381469727
32,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,269.22,99,99,99,99,12955388928.0,191.4900054931641
33,JANX,Healthcare,Biotechnology,NASDAQ,268.97,99,99,99,99,2094768384.0,50.4900016784668
36,MSTR,Technology,Software—Application,NASDAQ,259.32,99,98,99,98,26063867904.0,219.0500030517578
38,EVGO,Consumer Cyclical,Specialty Retail,NASDAQ,254.06,99,93,95,9,616147264.0,8.09000015258789
40,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,252.56,99,99,99,98,51737596.0,9.880000114440918
46,APP,Technology,Software - Application,NASDAQ,236.32,99,98,95,98,26597492736.0,158.85000610351562
47,WVE,Healthcare,Biotechnology,NASDAQ,234.45,99,45,88,70,722513984.0,15.109999656677246
50,CRMD,Healthcare,Biotechnology,NASDAQ,230.64,99,97,63,93,237973760.0,11.199999809265137
51,MESO,Healthcare,Biotechnology,NASDAQ,228.67,99,98,97,98,854788736.0,9.649999618530272
52,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,225.95,99,97,93,97,1969235968.0,279.9599914550781
54,BVS,Healthcare,Medical Devices,NASDAQ,224.41,99,99,97,94,371476640.0,12.739999771118164
