Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,CHSN,Consumer Cyclical,Restaurants,NASDAQ,577.82,99,13,44,87,36054652,12.239999771118164
2,SEZL,Financial Services,Credit Services,NASDAQ,520.55,99,99,99,98,469543264,164.0
3,ASTS,Technology,Communication Equipment,NASDAQ,470.6,99,99,99,6,2532088320,24.90999984741211
4,SMMT,Healthcare,Biotechnology,NASDAQ,463.66,99,99,99,94,5601800704,18.920000076293945
5,LUMN,Communication Services,Telecom Services,NYSE,432.33,99,99,17,24,1086092800,6.230000019073486
6,NISN,Financial Services,Credit Services,NASDAQ,420.59,99,99,98,93,13619664,21.139999389648438
7,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,401.84,99,99,99,99,497564096,15.40999984741211
8,LENZ,Healthcare,Biotechnology,NASDAQ,398.46,99,99,99,99,467792032,23.979999542236328
9,TIL,Healthcare,Biotechnology,NASDAQ,389.33,99,99,88,62,68095936,39.95000076293945
10,AGBA,Financial Services,Asset Management,NASDAQ,369.63,99,99,99,13,229691088,1.440000057220459
11,INSG,Technology,Communication Equipment,NASDAQ,368.47,99,99,99,16,103737712,16.610000610351562
12,TLSIW,Healthcare,Medical Devices,NASDAQ,366.78,99,99,99,99,n/a,1.2200000286102295
13,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,362.82,99,99,99,99,16871360,2.759999990463257
14,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,360.19,99,95,94,5,n/a,0.9700000286102295
15,CAPR,Healthcare,Biotechnology,NASDAQ,356.27,99,25,36,93,154779824,18.09000015258789
16,NEON,Technology,Electronic Components,NASDAQ,349.91,99,99,84,8,30719000,7.559999942779541
17,SCPX,Healthcare,Biotechnology,NYSE MKT,342.17,99,99,1,14,10265812,0.7599999904632568
18,RAIL,Industrials,Railroads,NASDAQ,338.9,99,99,55,88,67358160,11.699999809265137
19,DOGZ,Consumer Cyclical,Leisure,NASDAQ,331.4,99,99,98,51,201654288,32.27000045776367
20,COMM,Technology,Communication Equipment,NASDAQ,330.38,99,99,23,2,256855168,6.0
21,DUO,Real Estate,Real Estate Services,NASDAQ,330.0,99,8,23,3,4200118,2.1700000762939453
22,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,313.69,99,99,99,98,41906316,5.809999942779541
23,CLOV,Healthcare,Healthcare Plans,NASDAQ,310.16,99,99,96,11,546080704,3.690000057220459
24,SRRK,Healthcare,Biotechnology,NASDAQ,304.06,99,25,28,92,768031936,34.279998779296875
25,ADMA,Healthcare,Biotechnology,NASDAQ,297.43,99,99,99,94,2461811456,20.18000030517578
26,PSNL,Healthcare,Diagnostics & Research,NASDAQ,296.26,99,99,73,13,65442888,5.110000133514404
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,291.87,99,99,96,30,624490496,50.63999938964844
28,DAVE,Technology,Software—Application,NASDAQ,284.21,99,99,99,99,470895648,42.72999954223633
29,ESGL,Industrials,Waste Management,NASDAQ,274.43,99,81,97,19,26217720,2.0360000133514404
30,CRVS,Healthcare,Biotechnology,NASDAQ,272.44,99,98,73,26,116970928,5.559999942779541
31,WLGS,Industrials,Engineering & Construction,NASDAQ,271.02,99,92,23,12,8300080,1.850000023841858
32,CDNA,Healthcare,Diagnostics & Research,NASDAQ,269.85,99,99,97,31,734330176,32.20000076293945
33,RCAT,Technology,Computer Hardware,NASDAQ,268.53,99,99,97,85,75767136,3.0999999046325684
34,AMBO,Consumer Defensive,Education & Training Services,NYSE MKT,266.71,99,16,23,23,3658930,4.019999980926514
35,CADL,Healthcare,Biotechnology,NASDAQ,263.93,99,99,99,99,199960320,6.429999828338623
36,JG,Technology,Software—Infrastructure,NASDAQ,262.15,99,95,16,18,19034462,8.9399995803833
37,RNA,Healthcare,Biotechnology,NASDAQ,258.96,99,99,99,98,4130786048,43.95000076293945
38,WLFC,Industrials,Rental & Leasing Services,NASDAQ,252.91,99,98,95,73,410781888,151.5800018310547
39,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,252.69,99,99,98,98,51737596,8.6899995803833
40,TISI,Industrials,Specialty Business Services,NYSE,251.69,99,99,72,46,34924232,22.219999313354492
41,BYRN,Industrials,Aerospace & Defense,NASDAQ,248.06,99,98,97,99,240324800,17.59000015258789
42,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,240.97,99,99,76,94,17891930,4.320000171661377
43,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,238.65,99,98,71,20,38072932,0.7799999713897705
44,AEYE,Technology,Software - Application,NASDAQ,236.98,99,99,99,98,212526320,22.84000015258789
45,MESO,Healthcare,Biotechnology,NASDAQ,236.61,99,97,98,95,854788736,9.989999771118164
46,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,235.77,99,98,99,99,12955388928,179.72999572753906
47,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,235.32,99,98,5,47,71849184,4.840000152587891
48,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,234.23,99,98,99,11,317554912,9.199999809265137
49,ZETA,Technology,Software—Application,NYSE,233.88,99,99,96,85,3581592576,30.3799991607666
50,RZLT,Healthcare,Biotechnology,NASDAQ,233.57,99,99,99,99,199377680,4.78000020980835
51,TIGR,Financial Services,Capital Markets,NASDAQ,231.54,99,22,80,26,745232256,11.460000038146973
52,VSSYW,Technology,Software—Application,NASDAQ,230.96,99,98,99,97,n/a,0.07900000363588333
53,POET,Technology,Semiconductors,NASDAQ,228.46,99,97,98,12,126549736,4.440000057220459
54,MSTR,Technology,Software—Application,NASDAQ,224.0,99,96,98,99,26063867904,186.08999633789062
55,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,223.71,99,99,22,12,7003263,0.44699999690055847
56,NUTX,Healthcare,Health Information Services,NASDAQ,220.68,99,98,2,0,26848478,20.559999465942383
57,QTTB,Healthcare,Biotechnology,NASDAQ,218.77,99,99,90,96,217226800,43.40999984741211
58,GEVO,Basic Materials,Specialty Chemicals,NASDAQ,216.45,99,29,12,7,135503248,1.840000033378601
59,VST,Utilities,Utilities—Independent Power Producers,NYSE,215.74,99,93,98,98,30652921856,131.27000427246094
60,APP,Technology,Software - Application,NASDAQ,214.45,99,96,97,98,26597492736,139.9499969482422
61,CAVA,Consumer Cyclical,Restaurants,NYSE,211.22,98,99,96,90,10877130752,126.0
62,FTAI,Industrials,Rental & Leasing Services,NASDAQ,210.83,98,98,98,97,9574752256,139.3800048828125
63,SWIM,Industrials,Building Products & Equipment,NASDAQ,210.4,98,97,30,86,427620096,6.489999771118164
64,EVGO,Consumer Cyclical,Specialty Retail,NASDAQ,209.56,98,94,94,8,616147264,6.929999828338623
65,BVS,Healthcare,Medical Devices,NASDAQ,208.68,98,98,95,97,371476640,11.1899995803833
66,GDS,Technology,Information Technology Services,NASDAQ,206.92,98,98,92,13,1717016704,21.989999771118164
67,UXIN,Consumer Cyclical,Auto & Truck Dealerships,NASDAQ,206.53,98,7,5,1,428500928,6.230000019073486
68,JANX,Healthcare,Biotechnology,NASDAQ,206.4,98,99,99,99,2094768384,44.150001525878906
69,WAVE,Utilities,Utilities—Renewable,NASDAQ,205.34,98,98,34,97,19145292,5.559999942779541
70,VKTX,Healthcare,Biotechnology,NASDAQ,205.12,98,98,99,99,6216909824,63.0099983215332
71,CHCI,Real Estate,Real Estate - Diversified,NASDAQ,204.03,98,96,84,91,62093432,12.289999961853027
72,AKA,Consumer Cyclical,Internet Retail,NYSE,203.3,98,99,98,97,150772864,20.649999618530273
73,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,202.32,98,98,97,7,164025680,3.259999990463257
74,PRM,Basic Materials,Specialty Chemicals,NYSE,201.52,98,98,94,94,1159015168,12.84000015258789
75,SMR,Industrials,Specialty Industrial Machinery,NYSE,201.06,98,91,99,90,768516800,12.859999656677246
76,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,200.3,98,88,94,97,1969235968,246.00999450683594
77,QSG,Consumer Defensive,Education & Training Services,NASDAQ,199.91,98,18,7,24,94329448,4.659999847412109
78,INLX,Technology,Software—Application,NYSE MKT,199.55,98,96,86,89,24188086,13.579999923706055
79,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,199.17,98,99,53,1,10736424,3.180000066757202
80,CURI,Communication Services,Broadcasting,NASDAQ,198.91,98,99,94,95,60566304,1.875
81,VHI,Basic Materials,Chemicals,NYSE,198.61,98,97,82,64,553888832,33.79999923706055
82,LBPH,Healthcare,Biotechnology,NASDAQ,197.76,98,99,99,98,738721920,33.349998474121094
83,APLT,Healthcare,Biotechnology,NASDAQ,197.09,98,97,98,99,514201504,7.699999809265137
84,CRMD,Healthcare,Biotechnology,NASDAQ,196.72,98,91,67,92,237973760,9.170000076293945
85,RGS,Consumer Cyclical,Personal Services,NASDAQ,195.16,98,99,98,4,10647367,26.489999771118164
86,JVA,Consumer Defensive,Packaged Foods,NASDAQ,195.1,98,97,97,92,8163297,2.9000000953674316
