Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
3,WGS,Healthcare,Health Information Services,NASDAQ,561.46,99,99,99,97,671555136.0,37.13999938964844
4,SEZL,Financial Services,Credit Services,NASDAQ,490.79,99,99,99,99,469543264.0,148.77999877929688
5,LENZ,Healthcare,Biotechnology,NASDAQ,485.08,99,99,99,99,467792032.0,21.100000381469727
10,INSG,Technology,Communication Equipment,NASDAQ,368.92,99,99,99,24,103737712.0,16.8700008392334
13,NISN,Financial Services,Credit Services,NASDAQ,360.64,99,99,32,83,13619664.0,13.90999984741211
14,CRBP,Healthcare,Biotechnology,NASDAQ,353.19,99,99,99,99,468184352.0,50.900001525878906
18,RAIL,Industrials,Railroads,NASDAQ,312.48,99,98,83,89,67358160.0,10.949999809265137
23,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,293.75,99,99,96,29,624490496.0,43.56999969482422
25,SLNO,Healthcare,Biotechnology,NASDAQ,288.73,99,99,99,99,1734692864.0,52.91999816894531
26,ADMA,Healthcare,Biotechnology,NASDAQ,285.93,99,99,99,94,2461811456.0,18.709999084472656
32,QTTB,Healthcare,Biotechnology,NASDAQ,271.15,99,98,52,78,217226800.0,47.93000030517578
33,RNA,Healthcare,Biotechnology,NASDAQ,264.2,99,99,99,98,4130786048.0,42.18999862670898
39,CDNA,Healthcare,Diagnostics & Research,NASDAQ,250.98,99,99,95,42,734330176.0,30.1200008392334
45,AKA,Consumer Cyclical,Internet Retail,NYSE,227.62,99,99,98,91,150772864.0,26.15999984741211
46,ZETA,Technology,Software—Application,NYSE,225.55,99,98,96,79,3581592576.0,27.440000534057617
47,BGM,,,NASDAQ,223.58,99,98,88,44,,8.0600004196167
50,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,220.46,99,99,94,91,640242240.0,20.32999992370605
55,BVS,Healthcare,Medical Devices,NASDAQ,211.73,99,95,92,95,371476640.0,11.369999885559082
56,WLFC,Industrials,Rental & Leasing Services,NASDAQ,210.95,99,98,88,56,410781888.0,120.80999755859376
63,FTAI,Industrials,Rental & Leasing Services,NASDAQ,202.2,98,98,98,97,9574752256.0,126.7699966430664
69,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,199.05,98,98,77,98,229773744.0,15.609999656677246
71,CAVA,Consumer Cyclical,Restaurants,NYSE,196.14,98,97,98,92,10877130752.0,122.47000122070312
74,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,192.6,98,99,99,99,12955388928.0,156.5800018310547
75,APP,Technology,Software - Application,NASDAQ,191.16,98,95,97,98,26597492736.0,123.63999938964844
76,AXGN,Healthcare,Medical Devices,NASDAQ,190.83,98,97,52,58,312487904.0,14.6899995803833
77,STOK,Healthcare,Biotechnology,NASDAQ,190.67,98,98,99,95,776065344.0,15.119999885559082
78,GGAL,Financial Services,Banks - Regional,NASDAQ,190.04,98,97,97,95,6550478336.0,45.13999938964844
80,SOC,Energy,Oil & Gas Drilling,NYSE,187.75,98,86,90,43,914527744.0,25.88999938964844
81,PRAX,Healthcare,Biotechnology,NASDAQ,187.42,98,97,96,99,644796736.0,57.720001220703125
82,TLN,,,NASDAQ,187.24,98,97,97,91,,165.8699951171875
84,CLPT,Healthcare,Medical Devices,NASDAQ,186.73,98,97,33,39,143956576.0,11.920000076293944
85,CMPO,Industrials,Metal Fabrication,NASDAQ,186.71,98,98,49,64,518202016.0,12.329999923706056
87,PNTG,Healthcare,Medical Care Facilities,NASDAQ,186.13,98,98,95,91,680537344.0,34.66999816894531
92,RDFN,Real Estate,Real Estate Services,NASDAQ,184.83,98,79,23,10,729967808.0,14.210000038146973
93,INSM,Healthcare,Biotechnology,NASDAQ,183.79,98,99,99,69,10697345024.0,73.26000213623047
95,TISI,Industrials,Specialty Business Services,NYSE,182.79,98,88,84,49,34924232.0,14.529999732971191
102,NRIX,Healthcare,Biotechnology,NASDAQ,180.04,98,98,98,88,1126084736.0,24.82999992370605
104,COE,Consumer Defensive,Education & Training Services,NYSE MKT,179.15,98,97,88,52,52868228.0,16.208999633789062
105,CNTA,Healthcare,Biotechnology,NASDAQ,178.55,98,94,76,95,962569728.0,16.280000686645508
106,PRM,Basic Materials,Specialty Chemicals,NYSE,178.35,98,97,93,88,1159015168.0,12.329999923706056
108,TREE,Financial Services,Financial Conglomerates,NASDAQ,177.32,98,98,95,95,551858368.0,58.369998931884766
110,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,176.58,98,99,97,65,443103200.0,8.885000228881836
112,GDS,Technology,Information Technology Services,NASDAQ,176.34,98,92,38,7,1717016704.0,17.829999923706055
115,TPC,Industrials,Engineering & Construction,NYSE,173.71,98,98,99,96,1027907392.0,24.11000061035156
116,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,173.4,98,97,97,91,744387584.0,15.34000015258789
117,IDR,Basic Materials,Gold,NYSE MKT,173.14,98,93,93,91,122180440.0,14.479999542236328
120,SKE,Basic Materials,Other Industrial Metals & Mining,NYSE,172.72,98,96,42,22,414253632.0,8.920000076293945
122,DCTH,Healthcare,Medical Devices,NASDAQ,172.17,97,96,97,41,212283504.0,9.380000114440918
123,TAYD,Industrials,Specialty Industrial Machinery,NASDAQ,171.99,97,94,96,97,138021552.0,60.77999877929688
124,ESOA,Industrials,Engineering & Construction,NASDAQ,170.63,97,97,95,98,127548672.0,10.229999542236328
131,ARQT,Healthcare,Biotechnology,NASDAQ,167.57,97,96,94,96,943476544.0,10.369999885559082
133,SG,Consumer Cyclical,Restaurants,NYSE,167.04,97,98,98,98,3552299776.0,33.7400016784668
134,BNTC,Healthcare,Biotechnology,NASDAQ,165.69,97,98,97,89,67914232.0,8.399999618530273
136,SFM,Consumer Defensive,Grocery Stores,NASDAQ,165.29,97,97,96,93,7812086784.0,106.83000183105467
138,USAP,Basic Materials,Steel,NASDAQ,165.02,97,97,97,95,306204480.0,37.65999984741211
141,BBAR,Financial Services,Banks - Regional,NYSE,164.58,97,97,96,95,2783302912.0,11.34000015258789
144,CRS,Industrials,Metal Fabrication,NYSE,164.08,97,97,95,74,4986626048.0,143.30999755859375
145,PI,Technology,Communication Equipment,NASDAQ,163.96,97,96,96,92,4079125504.0,187.3600006103516
151,PCVX,Healthcare,Biotechnology,NASDAQ,162.71,97,84,87,85,7860438528.0,116.75
153,SUPV,Financial Services,Banks—Regional,NYSE,162.36,97,98,97,96,825703168.0,8.210000038146973
156,MMYT,Consumer Cyclical,Travel Services,NASDAQ,161.69,97,97,97,97,8979321856.0,104.29000091552734
160,NGNE,Healthcare,Biotechnology,NASDAQ,161.05,97,96,95,99,393562688.0,40.27000045776367
162,SMC,,,NYSE,160.65,97,96,98,95,,36.77999877929688
163,VRNA,Healthcare,Biotechnology,NASDAQ,160.57,97,97,29,21,1025684736.0,29.190000534057617
167,TZOO,Communication Services,Advertising Agencies,NASDAQ,160.06,97,93,36,91,103343216.0,14.5600004196167
168,SPRY,Healthcare,Biotechnology,NASDAQ,159.99,97,98,92,96,878840320.0,13.050000190734863
169,INLX,Technology,Software—Application,NYSE MKT,159.41,97,95,90,94,24188086.0,9.829999923706056
170,PTGX,Healthcare,Biotechnology,NASDAQ,159.26,97,97,92,82,1911472000.0,44.90999984741211
173,OCUL,Healthcare,Biotechnology,NASDAQ,158.75,97,98,86,97,850340544.0,8.760000228881836
178,CLBT,Technology,Software - Infrastructure,NASDAQ,158.3,97,96,92,93,2459457792.0,17.459999084472656
179,SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,158.14,97,97,92,71,10521380864.0,103.47000122070312
180,TMDX,Healthcare,Medical Devices,NASDAQ,158.05,97,97,98,46,4765039104.0,156.0800018310547
181,EVER,Communication Services,Internet Content & Information,NASDAQ,158.0,97,97,97,97,663600512.0,22.280000686645508
182,PHAT,Healthcare,Biotechnology,NASDAQ,157.79,96,83,62,69,694812800.0,18.489999771118164
185,FHTX,Healthcare,Biotechnology,NASDAQ,157.04,96,89,23,38,289369088.0,9.84000015258789
186,HBB,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,156.87,96,97,77,96,248969600.0,29.170000076293945
187,FIP,Industrials,Conglomerates,NASDAQ,156.81,96,98,97,95,851178752.0,9.359999656677246
188,CDRO,Consumer Cyclical,Gambling,NASDAQ,156.8,96,95,97,98,337469344.0,8.399999618530273
193,ALHC,Healthcare,Healthcare Plans,NASDAQ,155.89,96,84,86,11,1443544960.0,11.68000030517578
194,CLMB,Technology,Electronics & Computer Distribution,NASDAQ,155.89,96,96,55,87,257776016.0,94.58999633789062
195,ANAB,Healthcare,Biotechnology,NASDAQ,155.59,96,97,83,53,625322752.0,37.5
196,UG,Consumer Defensive,Household & Personal Products,NASDAQ,155.13,96,93,79,32,41119164.0,14.539999961853027
197,TELZ,,,NYSE MKT,154.85,96,97,90,29,,23.75
200,TVTX,Healthcare,Biotechnology,NASDAQ,154.44,96,81,24,11,553457856.0,14.399999618530272
202,PLTR,Technology,Software—Infrastructure,NYSE,154.39,96,96,91,96,57498558464.0,36.45000076293945
204,EWTX,Healthcare,Biotechnology,NASDAQ,153.86,96,96,97,97,1511381888.0,18.075000762939453
206,SNCR,Technology,Software—Infrastructure,NASDAQ,153.55,96,92,50,72,93892136.0,12.460000038146973
207,DNTH,Healthcare,Biotechnology,NASDAQ,153.41,96,99,99,99,730215552.0,25.989999771118164
211,VHI,Basic Materials,Chemicals,NYSE,153.06,96,97,85,66,553888832.0,26.940000534057617
213,TGTX,Healthcare,Biotechnology,NASDAQ,152.72,96,97,82,54,2457233664.0,25.07999992370605
214,BWIN,Financial Services,Insurance Brokers,NASDAQ,152.55,96,95,87,70,2213762816.0,49.060001373291016
215,NGVC,Consumer Defensive,Grocery Stores,NYSE,152.51,96,94,92,87,478401984.0,29.32999992370605
218,CHCI,Real Estate,Real Estate - Diversified,NASDAQ,151.08,96,91,92,70,62093432.0,8.59000015258789
220,KYMR,Healthcare,Biotechnology,NASDAQ,150.9,96,96,84,95,1914379008.0,47.29999923706055
222,CTBB,,,NYSE,150.68,96,90,48,31,,16.56999969482422
225,FLXS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,149.63,96,93,92,96,171704448.0,41.810001373291016
226,SATS,Technology,Communication Equipment,NASDAQ,149.44,96,76,77,19,4626990592.0,25.90999984741211
228,ALNY,Healthcare,Biotechnology,NASDAQ,149.3,96,96,47,19,19462060032.0,274.4599914550781
231,PRCT,Healthcare,Medical Devices,NASDAQ,149.19,96,93,94,86,3188300288.0,79.80999755859375
234,NTRA,Healthcare,Diagnostics & Research,NASDAQ,148.75,96,96,96,94,13261495296.0,127.20999908447266
236,LMB,Industrials,Building Products & Equipment,NASDAQ,148.56,96,92,95,92,638443200.0,73.52999877929688
237,CTDD,,,NYSE,148.5,96,91,56,33,,16.969999313354492
243,TRUP,Financial Services,Insurance—Specialty,NASDAQ,147.11,95,94,68,32,1177414400.0,46.54999923706055
244,QTWO,Technology,Software—Application,NYSE,146.96,95,95,94,93,3477957888.0,76.19000244140625
245,RSI,Consumer Cyclical,Gambling,NYSE,146.81,95,95,98,94,2178609920.0,10.170000076293944
246,IESC,Industrials,Engineering & Construction,NASDAQ,146.68,95,97,96,96,2759391488.0,164.19000244140625
249,RKT,Financial Services,Mortgage Finance,NYSE,146.3,95,96,87,85,28418390016.0,20.670000076293945
252,YOU,Technology,Software—Application,NYSE,146.11,95,93,32,38,2644595712.0,32.59000015258789
254,LE,Consumer Cyclical,Apparel Retail,NASDAQ,145.59,95,93,96,54,450680416.0,15.649999618530272
255,MOD,Consumer Cyclical,Auto Parts,NYSE,145.57,95,96,97,98,5115531776.0,115.43000030517578
257,ERJ,Industrials,Aerospace & Defense,NYSE,145.44,95,95,94,94,4982641152.0,35.130001068115234
258,INGN,Healthcare,Medical Devices,NASDAQ,145.15,95,96,83,61,180246928.0,10.84000015258789
259,AGX,Industrials,Engineering & Construction,NYSE,145.12,95,93,96,70,1036293632.0,89.19000244140625
260,HOV,Consumer Cyclical,Residential Construction,NYSE,144.84,95,94,79,88,853314688.0,224.75
261,FYBR,Communication Services,Telecom Services,NASDAQ,144.84,95,89,88,76,6246111744.0,35.650001525878906
263,STRT,Consumer Cyclical,Auto Parts,NASDAQ,144.61,95,95,77,42,111939528.0,38.20000076293945
265,THC,Healthcare,Medical Care Facilities,NYSE,144.17,95,97,96,91,13456809984.0,156.9600067138672
266,BKTI,Technology,Communication Equipment,NYSE MKT,144.05,95,93,38,63,47622796.0,20.709999084472656
268,NMM,Industrials,Marine Shipping,NYSE,143.91,95,94,97,95,1481148544.0,55.77999877929688
269,PAHC,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,143.78,95,86,93,42,708002880.0,22.36000061035156
270,CVLT,Technology,Software - Application,NASDAQ,143.72,95,96,94,89,5123945472.0,148.27000427246094
271,NMRK,Real Estate,Real Estate Services,NASDAQ,143.19,95,91,84,89,2430948608.0,14.93000030517578
273,CALT,Healthcare,Biotechnology,NASDAQ,143.1,95,98,98,41,1048215232.0,39.9900016784668
274,EAT,Consumer Cyclical,Restaurants,NYSE,143.04,95,93,97,83,3028023296.0,75.19000244140625
276,HWKN,Basic Materials,Specialty Chemicals,NASDAQ,142.93,95,96,91,88,1873532928.0,120.26000213623048
278,UFPT,Healthcare,Medical Devices,NASDAQ,142.78,95,96,90,91,1922454912.0,330.3399963378906
280,BOOT,Consumer Cyclical,Apparel Retail,NYSE,142.7,95,92,95,64,4067703552.0,156.94000244140625
281,CNK,Communication Services,Entertainment,NYSE,142.47,95,95,80,73,2416333568.0,28.59000015258789
