Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,WGS,Healthcare,Health Information Services,NASDAQ,599.46,99,99,99,97,671555136.0,42.43999862670898
4,SEZL,Financial Services,Credit Services,NASDAQ,479.59,99,99,99,99,469543264.0,170.58999633789062
8,NISN,Financial Services,Credit Services,NASDAQ,392.57,99,99,66,92,13619664.0,16.0
11,INSG,Technology,Communication Equipment,NASDAQ,347.73,99,99,99,15,103737712.0,16.329999923706055
17,LENZ,Healthcare,Biotechnology,NASDAQ,303.28,99,99,99,99,467792032.0,23.739999771118164
19,RAIL,Industrials,Railroads,NASDAQ,297.75,99,98,49,89,67358160.0,10.789999961853027
21,ADMA,Healthcare,Biotechnology,NASDAQ,287.08,99,99,99,92,2461811456.0,19.989999771118164
24,RNA,Healthcare,Biotechnology,NASDAQ,282.48,99,99,99,98,4130786048.0,45.93000030517578
27,LBPH,Healthcare,Biotechnology,NASDAQ,265.63,99,99,99,98,738721920.0,33.33000183105469
28,DOGZ,Consumer Cyclical,Leisure,NASDAQ,265.21,99,99,97,31,201654288.0,27.1200008392334
30,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,260.65,99,99,96,34,624490496.0,44.959999084472656
32,BYRN,Industrials,Aerospace & Defense,NASDAQ,258.16,99,96,97,99,240324800.0,16.969999313354492
33,CDNA,Healthcare,Diagnostics & Research,NASDAQ,248.64,99,99,97,52,734330176.0,31.225000381469727
37,WLFC,Industrials,Rental & Leasing Services,NASDAQ,239.37,99,98,93,56,410781888.0,148.80999755859375
38,AEYE,Technology,Software - Application,NASDAQ,234.03,99,99,99,98,212526320.0,22.850000381469727
39,ZETA,Technology,Software—Application,NYSE,228.56,99,99,97,86,3581592576.0,29.82999992370605
40,QTTB,Healthcare,Biotechnology,NASDAQ,227.52,99,99,79,89,217226800.0,44.619998931884766
50,BVS,Healthcare,Medical Devices,NASDAQ,214.13,99,98,94,96,371476640.0,11.949999809265137
52,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,211.94,99,99,99,99,12955388928.0,174.11000061035156
64,APP,Technology,Software - Application,NASDAQ,199.29,98,96,98,98,26597492736.0,130.5500030517578
65,EWTX,Healthcare,Biotechnology,NASDAQ,198.89,98,97,98,97,1511381888.0,26.690000534057617
66,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,198.53,98,98,92,95,443103200.0,9.350000381469728
67,RGS,Consumer Cyclical,Personal Services,NASDAQ,197.5,98,99,99,4,10647367.0,27.51000022888184
68,CAVA,Consumer Cyclical,Restaurants,NYSE,197.42,98,98,98,89,10877130752.0,123.8499984741211
70,SPRY,Healthcare,Biotechnology,NASDAQ,196.83,98,97,92,94,878840320.0,14.5
73,DOYU,Communication Services,Internet Content & Information,NASDAQ,194.99,98,98,98,17,324264896.0,10.829999923706056
74,APLT,Healthcare,Biotechnology,NASDAQ,193.38,98,98,96,99,514201504.0,8.5
76,FTAI,Industrials,Rental & Leasing Services,NASDAQ,192.92,98,98,99,97,9574752256.0,132.89999389648438
