Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,CHSN,Consumer Cyclical,Restaurants,NASDAQ,575.46,99,11,48,86,36054652,12.239999771118164
2,SEZL,Financial Services,Credit Services,NASDAQ,531.31,99,99,99,98,469543264,162.5500030517578
3,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,493.41,99,99,18,13,7003263,1.0099999904632568
4,ASTS,Technology,Communication Equipment,NASDAQ,481.92,99,99,99,6,2532088320,24.200000762939453
5,SMMT,Healthcare,Biotechnology,NASDAQ,481.22,99,99,99,94,5601800704,19.690000534057617
6,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,441.35,99,99,99,99,497564096,15.930000305175781
7,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,430.79,99,99,78,92,17891930,7.929999828338623
8,LUMN,Communication Services,Telecom Services,NYSE,427.58,99,99,18,22,1086092800,6.429999828338623
9,LENZ,Healthcare,Biotechnology,NASDAQ,391.44,99,99,99,99,467792032,24.40999984741211
10,NISN,Financial Services,Credit Services,NASDAQ,386.03,99,99,98,93,13619664,19.18000030517578
11,CAPR,Healthcare,Biotechnology,NASDAQ,384.6,99,24,51,92,154779824,19.329999923706055
12,INSG,Technology,Communication Equipment,NASDAQ,383.83,99,99,99,17,103737712,17.559999465942383
13,NEON,Technology,Electronic Components,NASDAQ,380.09,99,99,85,8,30719000,8.239999771118164
14,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,370.11,99,99,99,99,16871360,2.8399999141693115
15,TLSIW,Healthcare,Medical Devices,NASDAQ,369.77,99,99,99,99,n/a,1.440000057220459
16,RAIL,Industrials,Railroads,NASDAQ,356.09,99,99,45,88,67358160,12.369999885559082
17,DOGZ,Consumer Cyclical,Leisure,NASDAQ,351.36,99,99,98,88,201654288,34.459999084472656
18,AGBA,Financial Services,Asset Management,NASDAQ,351.22,99,99,99,12,229691088,1.3600000143051147
19,TIL,Healthcare,Biotechnology,NASDAQ,346.04,99,99,91,61,68095936,35.599998474121094
20,SCPX,Healthcare,Biotechnology,NYSE MKT,333.45,99,99,1,15,10265812,0.75
21,COMM,Technology,Communication Equipment,NASDAQ,316.24,99,99,30,2,256855168,6.03000020980835
22,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,316.08,99,95,94,5,n/a,0.8849999904632568
23,CLOV,Healthcare,Healthcare Plans,NASDAQ,307.99,99,99,97,10,546080704,3.759999990463257
24,DAVE,Technology,Software—Application,NASDAQ,298.63,99,99,99,99,470895648,44.5
25,ADMA,Healthcare,Biotechnology,NASDAQ,297.01,99,99,99,94,2461811456,20.719999313354492
26,PSNL,Healthcare,Diagnostics & Research,NASDAQ,294.12,99,99,69,14,65442888,5.210000038146973
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,293.97,99,99,97,24,624490496,51.0
28,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,286.17,99,99,99,98,41906316,5.5
29,CRVS,Healthcare,Biotechnology,NASDAQ,285.75,99,99,69,23,116970928,5.940000057220459
30,RCAT,Technology,Computer Hardware,NASDAQ,280.24,99,99,96,95,75767136,3.4600000381469727
31,ESGL,Industrials,Waste Management,NASDAQ,274.25,99,97,97,18,26217720,2.0799999237060547
32,RNA,Healthcare,Biotechnology,NASDAQ,268.97,99,99,99,98,4130786048,46.33000183105469
33,AMBO,Consumer Defensive,Education & Training Services,NYSE MKT,267.11,99,14,17,32,3658930,4.179999828338623
34,TISI,Industrials,Specialty Business Services,NYSE,267.02,99,99,73,43,34924232,23.90999984741211
35,CDNA,Healthcare,Diagnostics & Research,NASDAQ,263.12,99,99,97,42,734330176,32.15999984741211
36,DUO,Real Estate,Real Estate Services,NASDAQ,256.41,99,8,27,3,4200118,1.659999966621399
37,SRRK,Healthcare,Biotechnology,NASDAQ,253.91,99,28,23,92,768031936,29.489999771118164
38,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,250.58,99,99,98,98,51737596,8.699999809265137
39,WLFC,Industrials,Rental & Leasing Services,NASDAQ,250.09,99,98,94,73,410781888,154.72999572753906
40,CADL,Healthcare,Biotechnology,NASDAQ,248.44,99,99,99,99,199960320,6.150000095367432
41,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,248.13,99,98,99,99,12955388928,190.99000549316406
42,BYRN,Industrials,Aerospace & Defense,NASDAQ,238.9,99,98,97,98,240324800,17.170000076293945
43,ZETA,Technology,Software—Application,NYSE,238.2,99,99,97,84,3581592576,31.84000015258789
44,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,236.78,99,98,99,11,317554912,9.220000267028809
45,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,236.54,99,98,4,20,71849184,4.949999809265137
46,WLGS,Industrials,Engineering & Construction,NASDAQ,233.01,99,95,21,16,8300080,1.590000033378601
47,RZLT,Healthcare,Biotechnology,NASDAQ,229.77,99,99,99,99,199377680,4.78000020980835
48,JG,Technology,Software—Infrastructure,NASDAQ,226.56,99,94,15,19,19034462,7.449999809265137
49,MSTR,Technology,Software—Application,NASDAQ,226.52,99,96,99,99,26063867904,192.1999969482422
50,AEYE,Technology,Software - Application,NASDAQ,223.52,99,99,99,98,212526320,21.790000915527344
51,MESO,Healthcare,Biotechnology,NASDAQ,222.1,99,97,98,97,854788736,9.550000190734863
52,FTAI,Industrials,Rental & Leasing Services,NASDAQ,219.82,99,98,98,97,9574752256,146.4499969482422
53,APP,Technology,Software - Application,NASDAQ,218.31,99,96,97,98,26597492736,143.50999450683594
54,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,218.12,99,98,70,21,38072932,0.7099999785423279
55,CAVA,Consumer Cyclical,Restaurants,NYSE,216.88,99,99,96,89,10877130752,131.99000549316406
56,POET,Technology,Semiconductors,NASDAQ,215.27,99,97,98,10,126549736,4.210000038146973
57,SWIM,Industrials,Building Products & Equipment,NASDAQ,211.38,99,98,33,84,427620096,6.78000020980835
