Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,571.42,99,98,48,19,17891930.0,10.40999984741211
2,NEON,Technology,Electronic Components,NASDAQ,551.88,99,99,80,6,30719000.0,11.449999809265137
4,SEZL,Financial Services,Credit Services,NASDAQ,476.1,99,99,99,98,469543264.0,163.39999389648438
8,LENZ,Healthcare,Biotechnology,NASDAQ,400.8,99,99,99,99,467792032.0,22.38999938964844
10,INSG,Technology,Communication Equipment,NASDAQ,374.26,99,99,99,19,103737712.0,17.690000534057617
12,NISN,Financial Services,Credit Services,NASDAQ,348.73,99,99,26,93,13619664.0,13.75
16,RAIL,Industrials,Railroads,NASDAQ,309.35,99,97,85,88,67358160.0,11.229999542236328
17,SLNO,Healthcare,Biotechnology,NASDAQ,309.05,99,99,99,99,1734692864.0,51.61000061035156
21,ADMA,Healthcare,Biotechnology,NASDAQ,300.53,99,99,99,94,2461811456.0,19.979999542236328
22,LBPH,Healthcare,Biotechnology,NASDAQ,298.31,99,99,99,99,738721920.0,33.88999938964844
24,QTTB,Healthcare,Biotechnology,NASDAQ,287.87,99,98,60,81,217226800.0,48.97999954223633
25,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,280.04,99,99,99,99,51737596.0,9.579999923706056
26,AEYE,Technology,Software - Application,NASDAQ,279.77,99,99,99,95,212526320.0,25.299999237060547
28,RNA,Healthcare,Biotechnology,NASDAQ,274.52,99,99,99,98,4130786048.0,44.47999954223633
29,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,273.59,99,99,96,25,624490496.0,45.02000045776367
37,CDNA,Healthcare,Diagnostics & Research,NASDAQ,239.43,99,99,94,64,734330176.0,29.6299991607666
38,ZETA,Technology,Software—Application,NYSE,233.2,99,98,97,76,3581592576.0,28.940000534057617
42,EWTX,Healthcare,Biotechnology,NASDAQ,226.59,99,97,97,98,1511381888.0,28.280000686645508
45,WLFC,Industrials,Rental & Leasing Services,NASDAQ,225.14,99,98,94,53,410781888.0,132.1199951171875
46,BYRN,Industrials,Aerospace & Defense,NASDAQ,223.23,99,95,97,99,240324800.0,17.0
47,BVS,Healthcare,Medical Devices,NASDAQ,221.7,99,98,92,96,371476640.0,11.850000381469728
52,SPRY,Healthcare,Biotechnology,NASDAQ,212.71,99,97,89,95,878840320.0,14.770000457763672
54,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,210.5,99,99,99,99,12955388928.0,173.85000610351562
58,CAVA,Consumer Cyclical,Restaurants,NYSE,210.16,99,98,97,93,10877130752.0,128.7899932861328
61,FTAI,Industrials,Rental & Leasing Services,NASDAQ,204.21,99,98,99,96,9574752256.0,130.38999938964844
63,TLN,,,NASDAQ,200.91,98,98,97,92,,184.08999633789065
65,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,198.87,98,98,69,98,229773744.0,15.65999984741211
70,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,195.63,98,98,93,91,640242240.0,17.8700008392334
71,GGAL,Financial Services,Banks - Regional,NASDAQ,194.73,98,96,97,95,6550478336.0,46.630001068115234
72,APP,Technology,Software - Application,NASDAQ,194.64,98,96,97,98,26597492736.0,126.08999633789062
77,CMPO,Industrials,Metal Fabrication,NASDAQ,190.66,98,98,59,69,518202016.0,13.460000038146973
79,BMA,Financial Services,Banks - Regional,NYSE,188.76,98,96,98,97,5020511232.0,74.05999755859375
81,PNTG,Healthcare,Medical Care Facilities,NASDAQ,187.18,98,98,95,92,680537344.0,35.68000030517578
83,GDS,Technology,Information Technology Services,NASDAQ,186.77,98,97,78,9,1717016704.0,19.549999237060547
84,CLPT,Healthcare,Medical Devices,NASDAQ,186.64,98,97,29,41,143956576.0,12.399999618530272
86,TPC,Industrials,Engineering & Construction,NYSE,186.06,98,97,99,96,1027907392.0,26.200000762939453
87,BNTC,Healthcare,Biotechnology,NASDAQ,185.67,98,98,96,91,67914232.0,9.300000190734863
88,SG,Consumer Cyclical,Restaurants,NYSE,185.33,98,98,97,98,3552299776.0,37.0099983215332
89,AXGN,Healthcare,Medical Devices,NASDAQ,185.11,98,97,70,67,312487904.0,14.079999923706056
92,TREE,Financial Services,Financial Conglomerates,NASDAQ,183.43,98,98,95,95,551858368.0,60.09999847412109
93,PRM,Basic Materials,Specialty Chemicals,NYSE,182.94,98,97,91,89,1159015168.0,12.5
97,INSM,Healthcare,Biotechnology,NASDAQ,181.88,98,99,99,66,10697345024.0,74.20999908447266
98,PI,Technology,Communication Equipment,NASDAQ,181.79,98,95,97,91,4079125504.0,201.9900054931641
106,PRAX,Healthcare,Biotechnology,NASDAQ,179.3,98,97,94,99,644796736.0,61.5099983215332
108,INLX,Technology,Software—Application,NYSE MKT,178.32,98,97,80,85,24188086.0,11.5
109,STOK,Healthcare,Biotechnology,NASDAQ,177.87,98,98,97,98,776065344.0,13.75
112,DOYU,Communication Services,Internet Content & Information,NASDAQ,176.43,98,97,91,14,324264896.0,8.609999656677246
116,CRS,Industrials,Metal Fabrication,NYSE,175.31,98,97,96,77,4986626048.0,156.64999389648438
118,TAYD,Industrials,Specialty Industrial Machinery,NASDAQ,174.88,98,94,94,97,138021552.0,62.7400016784668
119,BBAR,Financial Services,Banks - Regional,NYSE,174.45,98,96,95,95,2783302912.0,11.850000381469728
120,CNTA,Healthcare,Biotechnology,NASDAQ,174.39,98,94,79,95,962569728.0,16.579999923706055
122,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,174.12,97,97,97,92,744387584.0,15.59000015258789
123,RDFN,Real Estate,Real Estate Services,NASDAQ,173.42,97,89,21,13,729967808.0,13.380000114440918
127,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,171.26,97,98,92,81,443103200.0,8.760000228881836
129,USAP,Basic Materials,Steel,NASDAQ,170.6,97,98,96,96,306204480.0,38.790000915527344
130,NRIX,Healthcare,Biotechnology,NASDAQ,169.96,97,98,97,92,1126084736.0,25.6200008392334
134,PTGX,Healthcare,Biotechnology,NASDAQ,168.71,97,96,90,83,1911472000.0,47.33000183105469
135,TMDX,Healthcare,Medical Devices,NASDAQ,168.56,97,98,98,43,4765039104.0,165.0
136,RYAM,Basic Materials,Chemicals,NYSE,167.66,97,97,89,61,382308672.0,8.069999694824219
137,TVTX,Healthcare,Biotechnology,NASDAQ,167.6,97,77,34,10,553457856.0,15.210000038146973
139,TISI,Industrials,Specialty Business Services,NYSE,166.19,97,91,75,73,34924232.0,14.670000076293944
144,MMYT,Consumer Cyclical,Travel Services,NASDAQ,165.23,97,97,97,97,8979321856.0,108.47000122070312
