Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,573.66,99,99,99,30,16871360,3.549999952316284
2,SMMT,Healthcare,Biotechnology,NASDAQ,543.88,99,99,99,97,5601800704,19.139999389648438
3,ASTS,Technology,Communication Equipment,NASDAQ,474.88,99,99,99,7,2532088320,25.940000534057617
4,LENZ,Healthcare,Biotechnology,NASDAQ,419.35,99,99,99,0,467792032,24.190000534057617
5,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,396.89,99,98,82,26,17891930,6.760000228881836
6,MDIA,Communication Services,Broadcasting,NASDAQ,386.31,99,99,99,13,132641344,3.259999990463257
7,CRBP,Healthcare,Biotechnology,NASDAQ,383.04,99,99,99,99,468184352,52.709999084472656
8,LUMN,Communication Services,Telecom Services,NYSE,367.69,99,99,17,22,1086092800,5.679999828338623
9,NEON,Technology,Electronic Components,NASDAQ,356.74,99,92,89,6,30719000,7.090000152587891
10,LBPH,Healthcare,Biotechnology,NASDAQ,341.54,99,99,98,99,738721920,34.5099983215332
11,SEZL,Financial Services,Credit Services,NASDAQ,335.36,99,99,97,99,469543264,132.75
12,PSNL,Healthcare,Diagnostics & Research,NASDAQ,328.2,99,98,22,34,65442888,5.320000171661377
13,CADL,Healthcare,Biotechnology,NASDAQ,328.12,99,99,99,52,199960320,6.440000057220459
14,INSG,Technology,Communication Equipment,NASDAQ,325.08,99,99,98,17,103737712,15.5600004196167
15,NISN,Financial Services,Credit Services,NASDAQ,314.76,99,99,71,80,13619664,12.199999809265137
16,SLNO,Healthcare,Biotechnology,NASDAQ,305.06,99,99,99,99,1734692864,48.75
17,BURU,Industrials,Specialty Industrial Machinery,NYSE MKT,304.47,99,99,5,10,7003263,0.6700000166893005
18,GDC,Communication Services,Electronic Gaming & Multimedia,NASDAQ,293.6,99,83,8,4,10736424,5.679999828338623
19,ADMA,Healthcare,Biotechnology,NASDAQ,289.79,99,99,98,93,2461811456,18.3799991607666
20,RCAT,Technology,Computer Hardware,NASDAQ,288.34,99,99,87,35,75767136,2.5399999618530273
21,RNA,Healthcare,Biotechnology,NASDAQ,287.12,99,99,99,98,4130786048,40.7599983215332
22,SHCRW,Healthcare,Health Information Services,NASDAQ,284.07,99,99,7,6,n/a,0.09799999743700027
23,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,271.84,99,99,99,98,497564096,13.0
24,RGS,Consumer Cyclical,Personal Services,NASDAQ,268.61,99,99,3,12,10647367,20.639999389648438
25,AGBA,Financial Services,Asset Management,NASDAQ,268.34,99,99,99,6,229691088,2.200000047683716
26,MBRX,Healthcare,Biotechnology,NASDAQ,267.76,99,99,99,37,9199929,2.359999895095825
27,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,267.74,99,99,98,98,51737596,8.930000305175781
28,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,267.32,99,99,93,20,624490496,39.31999969482422
29,DOGZ,Consumer Cyclical,Leisure,NASDAQ,255.57,99,99,98,79,201654288,23.209999084472656
30,RAIL,Industrials,Railroads,NASDAQ,251.89,99,72,89,76,67358160,8.359999656677246
31,RZLT,Healthcare,Biotechnology,NASDAQ,251.15,99,99,99,91,199377680,5.309999942779541
32,QTTB,Healthcare,Biotechnology,NASDAQ,250.12,99,97,84,72,217226800,46.060001373291016
33,CATX,Healthcare,Medical Devices,NYSE MKT,249.2,99,98,99,98,804254976,15.609999656677246
34,SWVL,Technology,Software—Application,NASDAQ,247.56,99,99,99,99,79203824,5.624000072479248
35,SCPX,Healthcare,Biotechnology,NYSE MKT,245.89,99,99,3,22,10265812,0.8500000238418579
36,GTHX,Healthcare,Biotechnology,NASDAQ,243.74,99,99,63,86,133840384,7.139999866485596
37,CMMB,Healthcare,Biotechnology,NASDAQ,239.77,99,82,89,39,13479612,2.130000114440918
38,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,238.12,99,99,99,98,41906316,3.7300000190734863
39,ADD,Communication Services,Entertainment,NASDAQ,235.4,99,98,8,2,4945666,0.7099999785423279
40,CLOV,Healthcare,Healthcare Plans,NASDAQ,232.23,99,98,78,19,546080704,2.509999990463257
41,COMM,Technology,Communication Equipment,NASDAQ,230.63,99,98,12,3,256855168,4.489999771118164
42,AVAH,Healthcare,Medical Care Facilities,NASDAQ,229.6,99,99,90,90,507880608,5.480000019073486
43,DAVE,Technology,Software—Application,NASDAQ,224.23,99,99,99,99,470895648,33.380001068115234
44,CDNA,Healthcare,Diagnostics & Research,NASDAQ,220.41,99,99,95,64,734330176,27.43000030517578
45,AEYE,Technology,Software - Application,NASDAQ,219.6,99,99,99,96,212526320,19.280000686645508
46,ZETA,Technology,Software—Application,NYSE,216.71,99,98,97,78,3581592576,25.709999084472656
47,TIL,Healthcare,Biotechnology,NASDAQ,214.23,99,55,64,89,68095936,21.989999771118164
48,ALTS,n/a,n/a,NASDAQ,213.27,99,99,99,99,n/a,2.109999895095825
49,CURI,Communication Services,Broadcasting,NASDAQ,207.04,99,95,97,15,60566304,1.6399999856948853
50,JANX,Healthcare,Biotechnology,NASDAQ,206.94,99,99,99,99,2094768384,41.849998474121094
51,ILAG,Industrials,Building Products & Equipment,NASDAQ,206.04,99,75,7,6,6609960,1.2300000190734863
52,REAX,Real Estate,Real Estate Services,NASDAQ,205.19,99,99,98,95,728804992,5.510000228881836
53,CRIS,Healthcare,Biotechnology,NASDAQ,204.75,99,97,99,99,45973824,4.940000057220459
54,TISI,Industrials,Specialty Business Services,NYSE,204.4,99,88,85,16,34924232,16.299999237060547
55,CAVA,Consumer Cyclical,Restaurants,NYSE,202.58,99,97,96,92,10877130752,120.08999633789062
56,HRTG,Financial Services,Insurance—Property & Casualty,NYSE,202.18,99,94,86,96,229773744,15.739999771118164
57,TROO,Technology,Software—Application,NASDAQ,199.11,99,99,18,8,155444944,4.300000190734863
58,AKA,Consumer Cyclical,Internet Retail,NYSE,197.32,99,96,98,84,150772864,22.770000457763672
59,BRFH,Consumer Defensive,Beverages - Non-Alcoholic,NASDAQ,196.56,99,98,95,15,37830144,3.440000057220459
60,ZAPP,Consumer Cyclical,Auto Manufacturers,NASDAQ,195.81,99,99,0,5,2378845,3.5799999237060547
61,UAMY,Basic Materials,Other Industrial Metals & Mining,NYSE MKT,195.16,99,90,88,25,38072932,0.6600000262260437
62,DCTH,Healthcare,Medical Devices,NASDAQ,195.09,98,97,96,50,212283504,9.779999732971191
63,XTLB,Healthcare,Biotechnology,NASDAQ,194.45,98,98,98,58,11878951,2.6700000762939453
64,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,192.11,98,99,99,99,12955388928,135.47999572753906
65,ELYM,Healthcare,Biotechnology,NASDAQ,191.61,98,97,99,41,218679408,7.829999923706055
66,CRVS,Healthcare,Biotechnology,NASDAQ,191.16,98,98,66,90,116970928,4.070000171661377
67,BVS,Healthcare,Medical Devices,NASDAQ,190.67,98,96,95,97,371476640,10.5
68,BYRN,Industrials,Aerospace & Defense,NASDAQ,190.34,98,95,97,98,240324800,14.989999771118164
69,FTAI,Industrials,Rental & Leasing Services,NASDAQ,189.22,98,98,98,96,9574752256,113.02999877929688
70,KOSS,Technology,Consumer Electronics,NASDAQ,187.16,98,98,91,11,35908624,7.21999979019165
71,STOK,Healthcare,Biotechnology,NASDAQ,186.97,98,98,99,36,776065344,15.350000381469727
72,GGAL,Financial Services,Banks - Regional,NASDAQ,186.72,98,97,97,95,6550478336,42.290000915527344
73,WLFC,Industrials,Rental & Leasing Services,NASDAQ,186.69,98,97,91,48,410781888,104.63999938964844
74,INSM,Healthcare,Biotechnology,NASDAQ,186.51,98,99,99,67,10697345024,71.81999969482422
75,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,185.32,98,94,11,7,164025680,2.130000114440918
76,AIHS,Financial Services,Credit Services,NASDAQ,185.14,98,98,94,96,8752843,1.340000033378601
77,CMPO,Industrials,Metal Fabrication,NASDAQ,184.71,98,97,70,42,518202016,11.75
78,ARQT,Healthcare,Biotechnology,NASDAQ,184.47,98,98,92,98,943476544,10.770000457763672
79,NAMSW,Healthcare,Biotechnology,NASDAQ,184.14,98,97,99,99,n/a,7.400000095367432
80,MAIA,Healthcare,Biotechnology,NYSE MKT,184.07,98,83,99,40,77303336,3.4800000190734863
81,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,182.79,98,95,96,68,443103200,8.619999885559082
82,MRT,Technology,Software—Application,NYSE MKT,182.72,98,99,98,49,100945328,1.9700000286102295
83,CLPT,Healthcare,Medical Devices,NASDAQ,182.11,98,93,25,69,143956576,11.84000015258789
84,BGM,n/a,n/a,NASDAQ,182.07,98,97,54,56,n/a,6.329999923706055
85,PRAX,Healthcare,Biotechnology,NASDAQ,181.84,98,98,96,99,644796736,58.9900016784668
86,PLSE,Healthcare,Medical Instruments & Supplies,NASDAQ,181.8,98,99,96,96,640242240,17.540000915527344
87,CCCC,Healthcare,Biotechnology,NASDAQ,181.38,98,93,88,98,280727648,5.730000019073486
88,CURV,Consumer Cyclical,Apparel Retail,NYSE,180.88,98,98,99,87,701232000,7.059999942779541
89,EUDA,Healthcare,Health Information Services,NASDAQ,180.54,98,99,96,71,93790424,3.2200000286102295
90,TKNO,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,180.35,98,98,9,34,71849184,4.21999979019165
