Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Market Cap,Close
1,EVGOW,Consumer Cyclical,Specialty Retail,NASDAQ,487.26,99,95,72,6,n/a,1.1200000047683716
2,ASTS,Technology,Communication Equipment,NASDAQ,483.73,99,99,99,7,2532088320,26.110000610351562
3,SMMT,Healthcare,Biotechnology,NASDAQ,479.55,99,99,99,95,5601800704,19.09000015258789
4,SEZL,Financial Services,Credit Services,NASDAQ,467.9,99,99,99,99,469543264,155.35000610351562
5,LUMN,Communication Services,Telecom Services,NYSE,462.53,99,99,16,23,1086092800,6.78000020980835
6,TIL,Healthcare,Biotechnology,NASDAQ,458.8,99,95,44,77,68095936,48.47999954223633
7,FTEL,Consumer Cyclical,Specialty Retail,NASDAQ,428.99,99,99,99,99,497564096,17.100000381469727
8,CAPR,Healthcare,Biotechnology,NASDAQ,420.73,99,24,41,93,154779824,21.649999618530273
9,LASE,Industrials,Specialty Industrial Machinery,NASDAQ,418.38,99,99,73,84,17891930,7.059999942779541
10,NISN,Financial Services,Credit Services,NASDAQ,410.69,99,99,93,92,13619664,20.0
11,AGBA,Financial Services,Asset Management,NASDAQ,397.06,99,99,99,15,229691088,1.5800000429153442
12,INSG,Technology,Communication Equipment,NASDAQ,373.82,99,99,99,15,103737712,16.479999542236328
13,ATER,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,366.27,99,99,99,99,16871360,2.819999933242798
14,DUO,Real Estate,Real Estate Services,NASDAQ,364.82,99,9,22,2,4200118,2.5299999713897705
15,RAIL,Industrials,Railroads,NASDAQ,357.16,99,99,48,87,67358160,12.529999732971191
16,SCPX,Healthcare,Biotechnology,NYSE MKT,350.51,99,99,1,17,10265812,0.7400000095367432
17,CLOV,Healthcare,Healthcare Plans,NASDAQ,339.52,99,99,96,12,546080704,4.039999961853027
18,NEON,Technology,Electronic Components,NASDAQ,338.71,99,99,78,9,30719000,7.559999942779541
19,COMM,Technology,Communication Equipment,NASDAQ,335.89,99,99,17,2,256855168,6.159999847412109
20,DOGZ,Consumer Cyclical,Leisure,NASDAQ,333.66,99,99,98,76,201654288,33.869998931884766
21,LSF,Consumer Defensive,Packaged Foods,NYSE MKT,330.88,99,99,99,98,41906316,6.289999961853027
22,LENZ,Healthcare,Biotechnology,NASDAQ,324.22,99,99,99,99,467792032,25.780000686645508
23,PSNL,Healthcare,Diagnostics & Research,NASDAQ,300.8,99,99,64,15,65442888,5.190000057220459
24,DAVE,Technology,Software—Application,NASDAQ,297.92,99,99,99,99,470895648,43.06999969482422
25,ADMA,Healthcare,Biotechnology,NASDAQ,297.07,99,99,99,94,2461811456,20.290000915527344
26,RNA,Healthcare,Biotechnology,NASDAQ,289.53,99,99,99,98,4130786048,47.29999923706055
27,HROW,Healthcare,Drug Manufacturers - Specialty & Generic,NASDAQ,286.49,99,99,97,31,624490496,50.369998931884766
28,JG,Technology,Software—Infrastructure,NASDAQ,285.53,99,95,17,20,19034462,9.399999618530273
29,RCAT,Technology,Computer Hardware,NASDAQ,284.39,99,99,96,60,75767136,3.299999952316284
30,CRVS,Healthcare,Biotechnology,NASDAQ,277.56,99,98,65,27,116970928,5.639999866485596
31,TLSIW,Healthcare,Medical Devices,NASDAQ,272.3,99,99,98,99,n/a,1.0399999618530273
32,CADL,Healthcare,Biotechnology,NASDAQ,271.96,99,99,99,99,199960320,6.650000095367432
33,BYRN,Industrials,Aerospace & Defense,NASDAQ,268.14,99,98,97,99,240324800,18.950000762939453
34,ESGL,Industrials,Waste Management,NASDAQ,262.51,99,97,97,19,26217720,2.0199999809265137
35,KINS,Financial Services,Insurance—Property & Casualty,NASDAQ,259.11,99,99,98,98,51737596,8.989999771118164
36,CDNA,Healthcare,Diagnostics & Research,NASDAQ,254.5,99,99,96,35,734330176,30.90999984741211
37,TIGR,Financial Services,Capital Markets,NASDAQ,253.63,99,19,83,26,745232256,12.390000343322754
38,WLFC,Industrials,Rental & Leasing Services,NASDAQ,249.61,99,98,95,62,410781888,152.42999267578125
39,AEYE,Technology,Software - Application,NASDAQ,248.54,99,99,99,98,212526320,23.3799991607666
40,MESO,Healthcare,Biotechnology,NASDAQ,245.77,99,98,98,96,854788736,10.8100004196167
41,CVNA,Consumer Cyclical,Auto & Truck Dealerships,NYSE,240.86,99,98,99,99,12955388928,180.1699981689453
42,TISI,Industrials,Specialty Business Services,NYSE,240.38,99,99,58,67,34924232,21.200000762939453
43,RZLT,Healthcare,Biotechnology,NASDAQ,238.49,99,99,99,98,199377680,4.929999828338623
44,ZETA,Technology,Software—Application,NYSE,237.95,99,99,96,82,3581592576,31.040000915527344
45,EBS,Healthcare,Drug Manufacturers—Specialty & Generic,NYSE,234.67,99,98,99,10,317554912,9.350000381469727
